,Identifier,primer_start,primer_end,adaptor_start,adaptor_end
0,GGBKTAO02BLCDL,NA,NA,NA,NA
1,GGBKTAO02BLISI,NA,NA,NA,NA
2,GGBKTAO02BLR7U,1,21,NA,NA
3,GGBKTAO02BYRW6,NA,NA,NA,NA
4,GGBKTAO02BR923,NA,NA,NA,NA
5,GGBKTAO02BL723,1,21,NA,NA
6,GGBKTAO02BMNT3,1,21,NA,NA
7,GGBKTAO02BVPCH,NA,NA,NA,NA
8,GGBKTAO02BPNB2,NA,NA,NA,NA
9,GGBKTAO02BVPBC,1,21,NA,NA
10,GGBKTAO02BVIZL,NA,NA,NA,NA
11,GGBKTAO02BYU3J,NA,NA,NA,NA
12,GGBKTAO02BZQTK,NA,NA,NA,NA
13,GGBKTAO02BPTJO,1,21,NA,NA
14,GGBKTAO02BSMS6,NA,NA,NA,NA
15,GGBKTAO02BXPZ5,1,21,NA,NA
16,GGBKTAO02BQO6J,NA,NA,NA,NA
17,GGBKTAO02BY1FK,1,21,NA,NA
18,GGBKTAO02BN8SH,NA,NA,NA,NA
19,GGBKTAO02BQIUW,NA,NA,NA,NA
20,GGBKTAO02BVPEU,1,21,NA,NA
21,GGBKTAO02B0PGL,1,21,NA,NA
22,GGBKTAO02B1HZA,NA,NA,NA,NA
23,GGBKTAO02BNY7K,NA,NA,NA,NA
24,GGBKTAO02BNMIW,NA,NA,NA,NA
25,GGBKTAO02BU27E,1,21,NA,NA
26,GGBKTAO02BLVF5,NA,NA,NA,NA
27,GGBKTAO02BWKWM,1,21,NA,NA
28,GGBKTAO02BY7RQ,NA,NA,NA,NA
29,GGBKTAO02BZ6HE,1,21,NA,NA
30,GGBKTAO02BZ6JB,1,21,NA,NA
31,GGBKTAO02BYYA5,1,21,NA,NA
32,GGBKTAO02BNC3A,1,21,NA,NA
33,GGBKTAO02B130R,1,21,NA,NA
34,GGBKTAO02BP21Q,1,21,NA,NA
35,GGBKTAO02BR0NU,NA,NA,NA,NA
36,GGBKTAO02BQCJ7,1,21,NA,NA
37,GGBKTAO02BQIU3,NA,NA,NA,NA
38,GGBKTAO02BM0FV,NA,NA,NA,NA
39,GGBKTAO02BY4KI,1,21,NA,NA
40,GGBKTAO02BS2IN,NA,NA,NA,NA
41,GGBKTAO02BUKB2,1,21,NA,NA
42,GGBKTAO02BOE04,NA,NA,NA,NA
43,GGBKTAO02BOH41,NA,NA,NA,NA
44,GGBKTAO02BV8C0,NA,NA,NA,NA
45,GGBKTAO02BRNXL,1,21,NA,NA
46,GGBKTAO02BS5Q6,1,21,NA,NA
47,GGBKTAO02BLSA3,NA,NA,NA,NA
48,GGBKTAO02BUWW1,1,21,NA,NA
49,GGBKTAO02BW3Z9,NA,NA,NA,NA
50,GGBKTAO02BYB7D,1,21,NA,NA
51,GGBKTAO02BN5HM,1,21,NA,NA
52,GGBKTAO02B10W8,1,21,NA,NA
53,GGBKTAO02B0F0J,1,21,NA,NA
54,GGBKTAO02BLCGF,1,21,NA,NA
55,GGBKTAO02BTIBJ,1,21,NA,NA
56,GGBKTAO02BQSAS,1,21,NA,NA
57,GGBKTAO02BRKSS,NA,NA,NA,NA
58,GGBKTAO02BSC7W,1,21,NA,NA
59,GGBKTAO02BLYKW,1,21,NA,NA
60,GGBKTAO02BP9D9,1,21,NA,NA
61,GGBKTAO02BPJ2K,1,21,NA,NA
62,GGBKTAO02BN2BW,1,21,NA,NA
63,GGBKTAO02BLCD4,1,21,NA,NA
64,GGBKTAO02BUTRR,NA,NA,NA,NA
65,GGBKTAO02BS2L5,1,21,NA,NA
66,GGBKTAO02BU9L9,NA,NA,NA,NA
67,GGBKTAO02BZ9P0,1,21,NA,NA
68,GGBKTAO02B0176,1,21,NA,NA
69,GGBKTAO02BMKMF,1,21,NA,NA
70,GGBKTAO02BZ6IH,1,21,NA,NA
71,GGBKTAO02BZW3B,1,21,NA,NA
72,GGBKTAO02BWKWI,1,21,NA,NA
73,GGBKTAO02BR0KX,NA,NA,NA,NA
74,GGBKTAO02BLLZF,1,21,NA,NA
75,GGBKTAO02BNGBA,1,21,NA,NA
76,GGBKTAO02BW3VT,1,21,NA,NA
77,GGBKTAO02BUQKC,1,21,NA,NA
78,GGBKTAO02BVPFX,1,21,NA,NA
79,GGBKTAO02B1K1V,1,21,NA,NA
80,GGBKTAO02BO4A7,1,21,NA,NA
81,GGBKTAO02BT7NI,1,21,NA,NA
82,GGBKTAO02BV121,1,21,NA,NA
83,GGBKTAO02BVYTP,1,21,NA,NA
84,GGBKTAO02BMA5S,1,21,NA,NA
85,GGBKTAO02BSGFE,1,21,NA,NA
86,GGBKTAO02BPTL8,1,21,NA,NA
87,GGBKTAO02BSSZ9,1,21,NA,NA
88,GGBKTAO02BN8R0,1,21,NA,NA
89,GGBKTAO02BWXJO,1,21,NA,NA
90,GGBKTAO02BUZ3X,1,21,NA,NA
91,GGBKTAO02BQFOP,1,21,318,337
92,GGBKTAO02BZZ5R,1,21,NA,NA
93,GGBKTAO02BVYSX,NA,NA,NA,NA
94,GGBKTAO02BN5LK,1,21,283,302
95,GGBKTAO02BYB5V,1,21,NA,NA
96,GGBKTAO02BOE4I,1,21,NA,NA
97,GGBKTAO02BW63M,NA,NA,NA,NA
98,GGBKTAO02BU6FE,1,21,NA,NA
99,GGBKTAO02BT4I3,1,21,NA,NA
100,GGBKTAO02BLIPH,1,21,NA,NA
101,GGBKTAO02BYYAY,1,21,152,171
102,GGBKTAO02BOOHU,NA,NA,NA,NA
103,GGBKTAO02BPTJ1,1,21,NA,NA
104,GGBKTAO02BV8CB,1,21,NA,NA
105,GGBKTAO02BVSHY,1,21,NA,NA
106,GGBKTAO02BWBFS,1,21,NA,NA
107,GGBKTAO02BOH7L,1,21,NA,NA
108,GGBKTAO02BO39L,1,21,NA,NA
109,GGBKTAO02BMQXZ,1,21,NA,NA
110,GGBKTAO02BMQ2O,1,21,NA,NA
111,GGBKTAO02BU6C8,NA,NA,NA,NA
112,GGBKTAO02BXMUZ,1,21,NA,NA
113,GGBKTAO02BSPW0,1,21,NA,NA
114,GGBKTAO02BVI3U,1,21,NA,NA
115,GGBKTAO02BLFJ7,1,21,NA,NA
116,GGBKTAO02BOLE4,NA,NA,NA,NA
117,GGBKTAO02BO06J,1,21,NA,NA
118,GGBKTAO02B0YXW,1,21,NA,NA
119,GGBKTAO02BLITU,1,21,NA,NA
120,GGBKTAO02BRXIB,1,21,NA,NA
121,GGBKTAO02B1XSC,1,21,NA,NA
122,GGBKTAO02BUG4W,1,21,NA,NA
123,GGBKTAO02BRKSW,1,21,NA,NA
124,GGBKTAO02BMKLV,1,21,NA,NA
125,GGBKTAO02BS5N0,NA,NA,NA,NA
126,GGBKTAO02BQCIR,1,21,NA,NA
127,GGBKTAO02BN8QM,1,21,NA,NA
128,GGBKTAO02BWXJD,NA,NA,NA,NA
129,GGBKTAO02BSMQ6,1,21,144,163
130,GGBKTAO02B0I7B,1,21,NA,NA
131,GGBKTAO02BZ6LS,1,21,NA,NA
132,GGBKTAO02B0Y04,1,21,NA,NA
133,GGBKTAO02BL4S5,1,21,NA,NA
134,GGBKTAO02BSZGB,1,21,NA,NA
135,GGBKTAO02BVYWF,1,21,NA,NA
136,GGBKTAO02BMXAI,1,21,NA,NA
137,GGBKTAO02BNSUO,1,21,NA,NA
138,GGBKTAO02B1RH8,1,21,NA,NA
139,GGBKTAO02BNMN8,1,21,NA,NA
140,GGBKTAO02BN5HV,1,21,NA,NA
141,GGBKTAO02BSV87,NA,NA,NA,NA
142,GGBKTAO02BT4JE,1,21,NA,NA
143,GGBKTAO02BL1M7,1,21,NA,NA
144,GGBKTAO02BWBF0,1,21,NA,NA
145,GGBKTAO02BLR5T,NA,NA,NA,NA
146,GGBKTAO02BXS7M,1,21,NA,NA
147,GGBKTAO02BVVL8,1,21,NA,NA
148,GGBKTAO02BPQES,1,21,NA,NA
149,GGBKTAO02BXWES,1,21,NA,NA
150,GGBKTAO02BPDU3,NA,NA,NA,NA
151,GGBKTAO02BUG18,1,21,NA,NA
152,GGBKTAO02BVL5P,1,21,NA,NA
153,GGBKTAO02B10UR,1,21,NA,NA
154,GGBKTAO02BTB00,1,21,NA,NA
155,GGBKTAO02BLLWH,1,21,NA,NA
156,GGBKTAO02B05CB,1,21,NA,NA
157,GGBKTAO02BOLDL,NA,NA,311,330
158,GGBKTAO02BPGXI,1,21,NA,NA
159,GGBKTAO02BUNDF,1,21,NA,NA
160,GGBKTAO02BSGDQ,1,21,NA,NA
161,GGBKTAO02B0YZB,1,21,NA,NA
162,GGBKTAO02BMNS7,1,21,NA,NA
163,GGBKTAO02BY7QZ,1,21,NA,NA
164,GGBKTAO02BU9HW,1,21,NA,NA
165,GGBKTAO02BWEM2,1,21,NA,NA
166,GGBKTAO02BYLMB,1,21,NA,NA
167,GGBKTAO02BREJP,1,21,NA,NA
168,GGBKTAO02BZ9QH,NA,NA,NA,NA
169,GGBKTAO02BTUZI,1,21,NA,NA
170,GGBKTAO02BYU40,1,21,NA,NA
171,GGBKTAO02BS8TU,1,21,NA,NA
172,GGBKTAO02BXWBO,1,21,NA,NA
173,GGBKTAO02BL4VD,1,21,NA,NA
174,GGBKTAO02BPQDJ,1,21,NA,NA
175,GGBKTAO02BX2QY,NA,NA,NA,NA
176,GGBKTAO02BY4JT,1,21,NA,NA
177,GGBKTAO02B0FYC,1,21,NA,NA
178,GGBKTAO02BT7OE,1,21,NA,NA
179,GGBKTAO02B0F1X,1,21,NA,NA
180,GGBKTAO02BYX79,1,21,NA,NA
181,GGBKTAO02BM0ER,1,21,318,337
182,GGBKTAO02BO7FP,1,21,NA,NA
183,GGBKTAO02BQFQS,1,21,320,339
184,GGBKTAO02B134B,1,21,NA,NA
185,GGBKTAO02BYIHW,1,21,NA,NA
186,GGBKTAO02BZNKS,NA,NA,NA,NA
187,GGBKTAO02B1ER4,1,21,NA,NA
188,GGBKTAO02BVPAO,1,21,NA,NA
189,GGBKTAO02BUDVQ,1,21,NA,NA
190,GGBKTAO02BMXDQ,1,21,NA,NA
191,GGBKTAO02BS8WU,1,21,264,283
192,GGBKTAO02BPNA3,1,21,311,330
193,GGBKTAO02BP25B,1,21,NA,NA
194,GGBKTAO02BVCRD,1,21,NA,NA
195,GGBKTAO02BQSCZ,1,21,NA,NA
196,GGBKTAO02BV431,1,21,NA,NA
197,GGBKTAO02BPWRP,1,21,NA,NA
198,GGBKTAO02BNJFM,1,21,NA,NA
199,GGBKTAO02BQ731,1,21,NA,NA
200,GGBKTAO02BNF8R,1,21,317,336
201,GGBKTAO02BQSGH,1,21,NA,NA
202,GGBKTAO02BRKUD,1,21,NA,NA
203,GGBKTAO02BVSIM,1,21,NA,NA
204,GGBKTAO02BWBHE,1,21,NA,NA
205,GGBKTAO02BTB26,NA,NA,NA,NA
206,GGBKTAO02BM9ZJ,1,21,NA,NA
207,GGBKTAO02B0MBS,1,21,NA,NA
208,GGBKTAO02BWXNW,1,21,NA,NA
209,GGBKTAO02BVVQY,1,21,NA,NA
210,GGBKTAO02BPQD2,1,21,NA,NA
211,GGBKTAO02B08G8,1,21,NA,NA
212,GGBKTAO02BORMQ,1,21,NA,NA
213,GGBKTAO02BT09J,1,21,NA,NA
214,GGBKTAO02BLVEU,1,21,NA,NA
215,GGBKTAO02BXS7F,1,21,NA,NA
216,GGBKTAO02BT4H5,1,21,NA,NA
217,GGBKTAO02BPALY,1,21,NA,NA
218,GGBKTAO02BNC65,1,21,NA,NA
219,GGBKTAO02BPGXL,1,21,316,335
220,GGBKTAO02BM9XK,1,21,NA,NA
221,GGBKTAO02BU6FP,1,21,NA,NA
222,GGBKTAO02BSGGQ,1,21,NA,NA
223,GGBKTAO02B10VH,NA,NA,NA,NA
224,GGBKTAO02BW0RB,1,21,NA,NA
225,GGBKTAO02BP9CQ,1,21,NA,NA
226,GGBKTAO02BQCL9,1,21,NA,NA
227,GGBKTAO02BRHMB,1,21,NA,NA
228,GGBKTAO02BPM9G,1,21,NA,NA
229,GGBKTAO02BTUW4,1,21,NA,NA
230,GGBKTAO02BP233,1,21,NA,NA
231,GGBKTAO02BUTQA,1,21,NA,NA
232,GGBKTAO02BO050,1,21,317,336
233,GGBKTAO02BXMXV,1,21,NA,NA
234,GGBKTAO02B1BJ3,1,21,NA,NA
235,GGBKTAO02BOX2R,1,21,NA,NA
236,GGBKTAO02BZ3DL,1,21,NA,NA
237,GGBKTAO02BPQIZ,1,21,NA,NA
238,GGBKTAO02BLLXF,NA,NA,NA,NA
239,GGBKTAO02BLIQ5,1,21,NA,NA
240,GGBKTAO02BM0HQ,1,21,NA,NA
241,GGBKTAO02BL4SL,1,21,NA,NA
242,GGBKTAO02BOE2P,1,21,NA,NA
243,GGBKTAO02BL4VS,1,21,NA,NA
244,GGBKTAO02BUDX1,1,21,NA,NA
245,GGBKTAO02BVCRR,1,21,NA,NA
246,GGBKTAO02BS2JR,1,21,NA,NA
247,GGBKTAO02BLYL6,1,21,NA,NA
248,GGBKTAO02BSJMX,1,21,NA,NA
249,GGBKTAO02BZ3EL,1,21,175,194
250,GGBKTAO02BUDXD,1,21,NA,NA
251,GGBKTAO02BTRU5,1,21,NA,NA
252,GGBKTAO02BU6DL,1,21,NA,NA
253,GGBKTAO02BN2DH,1,21,NA,NA
254,GGBKTAO02BM0GU,1,21,NA,NA
255,GGBKTAO02BSS2Y,1,21,NA,NA
256,GGBKTAO02BV45D,1,21,NA,NA
257,GGBKTAO02BWEKY,1,21,NA,NA
258,GGBKTAO02BQVKM,NA,NA,NA,NA
259,GGBKTAO02BXS6R,1,21,NA,NA
260,GGBKTAO02BO03K,NA,NA,NA,NA
261,GGBKTAO02BSZFQ,1,21,NA,NA
262,GGBKTAO02BSMQT,1,21,NA,NA
263,GGBKTAO02B0PKI,1,21,NA,NA
264,GGBKTAO02B0YWY,1,21,NA,NA
265,GGBKTAO02BMED5,1,21,NA,NA
266,GGBKTAO02BXMUQ,1,21,NA,NA
267,GGBKTAO02BLFJ1,1,21,NA,NA
268,GGBKTAO02BORQS,1,21,300,319
269,GGBKTAO02BQSBX,1,21,NA,NA
270,GGBKTAO02BO061,1,21,NA,NA
271,GGBKTAO02BU9KR,1,21,NA,NA
272,GGBKTAO02BWBGG,1,21,NA,NA
273,GGBKTAO02B0CU6,1,21,NA,NA
274,GGBKTAO02BWHQL,NA,NA,NA,NA
275,GGBKTAO02BZAWZ,1,21,NA,NA
276,GGBKTAO02BQO5J,1,21,NA,NA
277,GGBKTAO02BRUC2,1,21,NA,NA
278,GGBKTAO02BW96W,1,21,NA,NA
279,GGBKTAO02BT7LQ,1,21,NA,NA
280,GGBKTAO02BPZU1,1,21,NA,NA
281,GGBKTAO02BPTNM,1,21,NA,NA
282,GGBKTAO02BN8O9,1,21,NA,NA
283,GGBKTAO02BSSZ2,1,21,NA,NA
284,GGBKTAO02BYB89,1,21,NA,NA
285,GGBKTAO02BUG2B,1,21,NA,NA
286,GGBKTAO02BLR7D,1,21,NA,NA
287,GGBKTAO02BXAAG,1,21,NA,NA
288,GGBKTAO02BL1NB,NA,NA,NA,NA
289,GGBKTAO02B1BML,1,21,NA,NA
290,GGBKTAO02BY4NI,1,21,NA,NA
291,GGBKTAO02BYFDW,1,21,NA,NA
292,GGBKTAO02BYU2C,1,21,NA,NA
293,GGBKTAO02B05CZ,1,21,NA,NA
294,GGBKTAO02BU29Z,1,21,NA,NA
295,GGBKTAO02BT4JY,1,21,NA,NA
296,GGBKTAO02BMKQF,1,21,NA,NA
297,GGBKTAO02BK506,1,21,NA,NA
298,GGBKTAO02BXP0D,NA,NA,NA,NA
299,GGBKTAO02BO06U,1,21,NA,NA
300,GGBKTAO02BNPRA,1,21,NA,NA
301,GGBKTAO02BLVEK,1,21,NA,NA
302,GGBKTAO02BY7SR,1,21,NA,NA
303,GGBKTAO02BP57K,1,21,NA,NA
304,GGBKTAO02BOUTE,1,21,NA,NA
305,GGBKTAO02BQIVV,1,21,NA,NA
306,GGBKTAO02B1K1R,NA,NA,NA,NA
307,GGBKTAO02BMNVQ,NA,NA,NA,NA
308,GGBKTAO02BLO4Q,1,21,NA,NA
309,GGBKTAO02BQ4YW,1,21,NA,NA
310,GGBKTAO02BN2B5,NA,NA,NA,NA
311,GGBKTAO02BVVQV,1,21,NA,NA
312,GGBKTAO02BP58N,1,21,NA,NA
313,GGBKTAO02BU9KN,1,21,NA,NA
314,GGBKTAO02BRKR8,1,21,NA,NA
315,GGBKTAO02B1XTE,1,21,300,319
316,GGBKTAO02BPZX9,1,21,NA,NA
317,GGBKTAO02BVL9S,1,21,NA,NA
318,GGBKTAO02BUWUT,1,21,NA,NA
319,GGBKTAO02BPQFN,1,21,NA,NA
320,GGBKTAO02BNF8G,1,21,303,322
321,GGBKTAO02BT4GW,1,21,NA,NA
322,GGBKTAO02BLO20,1,21,NA,NA
323,GGBKTAO02BMT77,1,21,NA,NA
324,GGBKTAO02BPGZ3,1,21,NA,NA
325,GGBKTAO02BR6Z6,1,21,NA,NA
326,GGBKTAO02BTRR9,1,21,NA,NA
327,GGBKTAO02BLCGU,1,21,NA,NA
328,GGBKTAO02BLFM8,1,21,NA,NA
329,GGBKTAO02BL1OZ,1,21,NA,NA
330,GGBKTAO02BQLZ9,1,21,NA,NA
331,GGBKTAO02BV45U,1,21,159,178
332,GGBKTAO02BOOIE,1,21,NA,NA
333,GGBKTAO02BOUSK,1,21,NA,NA
334,GGBKTAO02BNSZY,1,21,317,336
335,GGBKTAO02BNJDD,1,21,NA,NA
336,GGBKTAO02B0CSZ,1,21,NA,NA
337,GGBKTAO02BRBC7,NA,NA,NA,NA
338,GGBKTAO02B1K1O,1,21,NA,NA
339,GGBKTAO02BV78Z,1,21,NA,NA
340,GGBKTAO02BPWTV,1,21,NA,NA
341,GGBKTAO02BYU3F,1,21,NA,NA
342,GGBKTAO02BSDAL,1,21,NA,NA
343,GGBKTAO02B1BLX,1,21,NA,NA
344,GGBKTAO02BUWVL,1,21,NA,NA
345,GGBKTAO02BZZ7N,1,21,NA,NA
346,GGBKTAO02BUKCF,1,21,NA,NA
347,GGBKTAO02BP9HI,1,21,NA,NA
348,GGBKTAO02BL4WV,1,21,NA,NA
349,GGBKTAO02BM0G4,1,21,NA,NA
350,GGBKTAO02BXJOW,1,21,NA,NA
